UniqueAnimalID,min,max,dias_tracking,TotalDistance_km,distance_per_day,AvgLatitude,AvgLongitude,Year
1,1986-07-01,1986-11-30,153,2261.8656756526575,14.78343578857946,70.25620913978494,-143.78848306451613,1986
3,1985-07-01,1986-11-22,510,4553.310927940178,8.928060643019956,72.12753375609756,-143.76726878048783,1985
4,1988-07-01,1990-11-28,881,7025.163607106036,7.974079009200948,71.30490988467875,-145.28080271828665,1988
5,1992-07-01,2002-11-30,3805,18633.115968228383,4.8970081388248055,70.22962106270943,-143.90006364289133,1992
10,1998-07-01,1999-11-30,518,7340.151230194363,14.170176120066339,73.29809148936171,-148.657747299509,1998
12,1987-07-01,1989-11-08,862,4672.042496187549,5.420002895809222,73.7401940463065,-142.7916412348401,1987
13,1992-07-01,1992-11-30,153,3033.601757181327,19.82746246523743,72.24373606557377,-152.36379524590163,1992
14,1989-07-01,1989-11-30,153,3020.9628556888506,19.7448552659402,71.88670721311476,-149.91667983606558,1989
16,1990-07-01,1990-11-06,129,2548.753531831097,19.757779316520132,71.29554636363636,-150.1861790909091,1990
17,1992-07-01,1993-11-30,518,6217.393745514949,12.002690628407237,70.41120989492119,-146.2962694395797,1992
19,1986-07-01,1989-11-30,1249,7922.49977508639,6.343074279492707,70.1660684021544,-142.2347582286056,1986
20,1992-07-01,1993-11-30,518,6112.68511138833,11.800550408085579,72.01540777414075,-147.35594901800326,1992
21,2000-07-01,2000-11-30,153,2983.097446039739,19.49736892836431,70.80635229508196,-137.86344049180326,2000
22,1992-07-01,1993-11-30,518,5973.141192958019,11.53116060416606,70.66551123919308,-143.89509279538905,1992
24,1987-07-01,1989-11-10,864,10961.436743395323,12.686848082633476,71.0705160663236,-147.97761846769583,1987
25,1985-07-01,1985-11-30,153,3129.17567607686,20.45212860180954,71.95804327868852,-156.57849770491802,1985
26,1986-07-01,1987-11-18,506,5322.801244271475,10.519370047967342,72.67864625407167,-156.6474671009772,1986
27,1986-07-01,1988-11-24,878,7094.680147529552,8.080501306981267,71.76309147485081,-148.05305848252343,1986
29,1999-07-01,1999-10-18,110,1827.5602478803776,16.614184071639794,72.11847290502793,-152.4952997206704,1999
30,1988-07-01,1988-11-20,143,2875.9748105812287,20.111711962106494,71.28059350877193,-142.72159438596492,1988
